PMID,miRNA,disease
34302879,hsa-mir-142,Neurodegenerative Diseases
33416094,hsa-mir-142,AIDS-Related Complex
35901619,hsa-mir-142,Endometriosis
32824678,hsa-mir-142,Endometriosis
34554275,hsa-mir-142,Myasthenia Gravis
32439493,hsa-mir-142,Hemochromatosis
36635290,hsa-mir-142,"Carcinoma, Hepatocellular"
36539001,hsa-mir-142,Breast Neoplasms
35489022,hsa-mir-142,Ovarian Neoplasms
35397427,hsa-mir-142,Obesity
35397427,hsa-mir-142,Burns
34563560,hsa-mir-142,Post-Dural Puncture Headache
34410163,hsa-mir-142,Colorectal Neoplasms
34299277,hsa-mir-142,"Carcinoma, Non-Small-Cell Lung"
34159811,hsa-mir-142,Inflammatory Bowel Diseases
34159811,hsa-mir-142,Vitamin D Deficiency
33459380,hsa-mir-142,Lung Neoplasms
32713345,hsa-mir-142,Colorectal Neoplasms
32631421,hsa-mir-142,Uterine Cervical Neoplasms
31864213,hsa-mir-142,Uterine Cervical Neoplasms
31836704,hsa-mir-142,"Diabetes Mellitus, Type 1"
31619579,hsa-mir-142,Pancreatic Carcinoma
31495191,hsa-mir-142,Nasal Polyps
31495191,hsa-mir-142,Nasopharyngitis
31144533,hsa-mir-142,Periodontitis
36561980,hsa-mir-142,Myocardial Reperfusion Injury
35812732,hsa-mir-142,Papillomavirus Infections
35282101,hsa-mir-142,Uterine Cervical Neoplasms
32047567,hsa-mir-142,Prostatic Neoplasms
31658290,hsa-mir-142,"Encephalomyelitis, Eastern Equine"
31494298,hsa-mir-142,Acute Lung Injury
30710569,hsa-mir-142,Spinal Injuries
36658474,hsa-mir-142,"Colitis, Ulcerative"
36482494,hsa-mir-142,Ovarian Neoplasms
35220863,hsa-mir-142,Acute Kidney Injury
34952204,hsa-mir-142,Tongue Neoplasms
34323174,hsa-mir-142,"Carcinoma, Non-Small-Cell Lung"
34321149,hsa-mir-142,Breast Neoplasms
33155080,hsa-mir-142,Stomach Neoplasms
32504836,hsa-mir-142,Stomach Neoplasms
32406793,hsa-mir-142,Gallbladder Neoplasms
32173492,hsa-mir-142,Inflammatory Bowel Diseases
31909901,hsa-mir-142,Ovarian Neoplasms
35300071,hsa-mir-142,Osteoarthritis
33407653,hsa-mir-142,Fragile X Syndrome
33407653,hsa-mir-142,"Stress Disorders, Post-Traumatic"
32271407,hsa-mir-142,Osteoarthritis
30857769,hsa-mir-142,Anxiety Disorders
30655907,hsa-mir-142,Osteosarcoma
32302291,hsa-mir-142,Osteosarcoma
32222493,hsa-mir-142,Inflammation
32222493,hsa-mir-142,Diabetic Nephropathies
32155139,hsa-mir-142,Osteosarcoma
35718954,hsa-mir-142,Periodontitis
33935744,hsa-mir-142,"Reperfusion Injury, Hepatic Ischemia"
33628189,hsa-mir-142,Spinal Cord Injuries
31038546,hsa-mir-142,Ovarian Neoplasms
35583000,hsa-mir-142,Neuralgia
35127818,hsa-mir-142,Urinary Bladder Neoplasms
33841580,hsa-mir-142,Stomach Neoplasms
32983253,hsa-mir-142,"Carcinoma, Hepatocellular"
30499593,hsa-mir-144,Inflammation
32773107,hsa-mir-144,Acquired Immunodeficiency Syndrome
31890774,hsa-mir-144,Retinal Degeneration
36773565,hsa-mir-144,"Diabetes Mellitus, Type 2"
36541023,hsa-mir-144,Periprosthetic Fractures
36224266,hsa-mir-144,Laryngeal Neoplasms
36161300,hsa-mir-144,Uterine Cervical Neoplasms
35808943,hsa-mir-144,Ovarian Neoplasms
35508298,hsa-mir-144,"Carcinoma, Non-Small-Cell Lung"
34542064,hsa-mir-144,Colonic Neoplasms
34435195,hsa-mir-144,"Carcinoma, Non-Small-Cell Lung"
34333815,hsa-mir-144,Mouth Neoplasms
34226299,hsa-mir-144,Colorectal Neoplasms
33459113,hsa-mir-144,"Carcinoma, Non-Small-Cell Lung"
32795656,hsa-mir-144,"Carcinoma, Hepatocellular"
32795656,hsa-mir-144,Diabetic Nephropathies
32563146,hsa-mir-144,Neuroblastoma
31590045,hsa-mir-144,Retinal Degeneration
31016619,hsa-mir-144,Uterine Cervical Neoplasms
30834525,hsa-mir-144,Nasopharyngeal Carcinoma
30832674,hsa-mir-144,"Carcinoma, Non-Small-Cell Lung"
36045665,hsa-mir-144,Glioma
35836824,hsa-mir-144,"Osteoporotic Fracture, Tibial"
35761309,hsa-mir-144,"Diabetes Mellitus, Type 2"
35551606,hsa-mir-144,Breast Neoplasms
35501800,hsa-mir-144,Urinary Bladder Neoplasms
35434335,hsa-mir-144,Squamous Cell Carcinoma of Head and Neck
34989308,hsa-mir-144,Schizophrenia
34547172,hsa-mir-144,"Heart Failure, Ischemic"
33935718,hsa-mir-144,Esophageal Neoplasms
33935718,hsa-mir-144,Esophageal Squamous Cell Carcinoma
32509217,hsa-mir-144,"Carcinoma, Hepatocellular"
32016991,hsa-mir-144,Cardiomyopathies
32016991,hsa-mir-144,Sepsis
36495514,hsa-mir-144,"Carcinoma, Hepatocellular"
36162418,hsa-mir-144,Polycystic Ovary Syndrome
35332770,hsa-mir-144,Squamous Cell Carcinoma of Head and Neck
34699621,hsa-mir-144,"Carcinoma, Renal Cell"
34115526,hsa-mir-144,Myocardial Infarction
33649985,hsa-mir-144,Multiple Myeloma
33227790,hsa-mir-144,Diabetic Nephropathies
33015777,hsa-mir-144,Colorectal Neoplasms
32557658,hsa-mir-144,"Diabetes Mellitus, Type 2"
32492291,hsa-mir-144,Parkinson Disease
31357838,hsa-mir-144,Neuroblastoma
31017720,hsa-mir-144,Uterine Cervical Neoplasms
36368065,hsa-mir-144,Myocardial Infarction
35070430,hsa-mir-144,"Carcinoma, Hepatocellular"
32397324,hsa-mir-144,Cardiomegaly
32256808,hsa-mir-144,Esophageal Neoplasms
31091144,hsa-mir-144,Acquired Immunodeficiency Syndrome
36168858,hsa-mir-144,"Osteoporosis, Diabetic"
35012442,hsa-mir-144,Brain Ischemia
33200535,hsa-mir-144,"Reperfusion Injury, Renal Ischemia"
36876724,hsa-mir-144,"Carcinoma, Non-Small-Cell Lung"
35402178,hsa-mir-144,"Carcinoma, Non-Small-Cell Lung"
34336030,hsa-mir-144,"Carcinoma, Non-Small-Cell Lung"
33061623,hsa-mir-144,Liver Neoplasms
32355466,hsa-mir-144,Breast Neoplasms
32351538,hsa-mir-144,Prostatic Neoplasms
32308422,hsa-mir-144,Osteosarcoma
33023393,hsa-mir-221,"Carcinoma, Hepatocellular"
32047494,hsa-mir-221,"Arthritis, Rheumatoid"
31389734,hsa-mir-221,Asthma
31569377,hsa-mir-221,Intervertebral Disc Degeneration
31878844,hsa-mir-221,Stroke
31643088,hsa-mir-221,Muscular Atrophy
30926320,hsa-mir-221,AIDS-Related Complex
31470827,hsa-mir-221,Carcinoma
32907982,hsa-mir-221,Swine Diseases
32907982,hsa-mir-221,Darier Disease
31643088,hsa-mir-221,Atrophy
36624948,hsa-mir-221,"Carcinoma, Renal Cell"
36232606,hsa-mir-221,"Carcinoma, Hepatocellular"
35562181,hsa-mir-221,Thyroid Neoplasms
34967706,hsa-mir-221,Parkinson Disease
34967706,hsa-mir-221,Epilepsy
33285691,hsa-mir-221,Glioma
32096156,hsa-mir-221,Laryngeal Neoplasms
31801250,hsa-mir-221,Liver Neoplasms
31587871,hsa-mir-221,"Diabetes, Gestational"
31400934,hsa-mir-221,Pancreatic Carcinoma
31376622,hsa-mir-221,"Carcinoma, Hepatocellular"
31173294,hsa-mir-221,"Carcinoma, Non-Small-Cell Lung"
31114989,hsa-mir-221,Uterine Cervical Neoplasms
30654657,hsa-mir-221,Asthma
30582227,hsa-mir-221,Osteosarcoma
35116858,hsa-mir-221,"Thyroid Cancer, Papillary"
34377233,hsa-mir-221,"Carcinoma, Renal Cell"
32704465,hsa-mir-221,"Thyroid Cancer, Papillary"
32146419,hsa-mir-221,Endometrial Hyperplasia
32117949,hsa-mir-221,"Leukemia, Myeloid, Acute"
31811872,hsa-mir-221,Parkinson Disease
31512460,hsa-mir-221,Peripheral Nerve Injuries
31258758,hsa-mir-221,"Carcinoma, Hepatocellular"
30992669,hsa-mir-221,"Thyroid Cancer, Papillary"
30546469,hsa-mir-221,Pancreatic Carcinoma
34516316,hsa-mir-221,"Pulmonary Disease, Chronic Obstructive"
32751711,hsa-mir-221,Breast Neoplasms
31885751,hsa-mir-221,"Carcinoma, Non-Small-Cell Lung"
30417784,hsa-mir-221,Breast Neoplasms
35475028,hsa-mir-221,Hypertrophy
35116871,hsa-mir-221,Colonic Neoplasms
32131507,hsa-mir-221,Prostatic Neoplasms
36078141,hsa-mir-221,Cleidocranial Dysplasia
34863307,hsa-mir-221,Asthma
35836108,hsa-mir-221,Cardiomegaly
32983973,hsa-mir-221,Meningioma
31499060,hsa-mir-221,Parkinson Disease
36947996,hsa-mir-221,Stomach Neoplasms
36873253,hsa-mir-221,"Carcinoma, Non-Small-Cell Lung"
35116434,hsa-mir-221,Glioblastoma
34504582,hsa-mir-221,Precursor Cell Lymphoblastic Leukemia-Lymphoma
32934696,hsa-mir-221,Liver Neoplasms
33394311,hsa-mir-218,Osteoarthritis
33394311,hsa-mir-218,Inflammation
32028854,hsa-mir-218,Norrie disease
33303006,hsa-mir-218,Hypertrophy
35379225,hsa-mir-218,Ventricular Premature Complexes
33384174,hsa-mir-218,Neurotic Disorders
32028854,hsa-mir-218,Diabetic Nephropathies
36221434,hsa-mir-218,Pheochromocytoma
31830266,hsa-mir-218,Diabetic Retinopathy
31830266,hsa-mir-218,Duane Retraction Syndrome
32028854,hsa-mir-218,Fanconi Syndrome
31830266,hsa-mir-218,Cone Dystrophy 3
35842617,hsa-mir-218,Adenocarcinoma of Lung
35060203,hsa-mir-218,Pancreatic Carcinoma
34901284,hsa-mir-218,Squamous Cell Carcinoma of Head and Neck
33994849,hsa-mir-218,Stomach Neoplasms
33990639,hsa-mir-218,Uterine Cervical Neoplasms
33719270,hsa-mir-218,Lung Neoplasms
32945459,hsa-mir-218,Osteosarcoma
31812575,hsa-mir-218,Pulmonary Fibrosis
31692912,hsa-mir-218,"Carcinoma, Endometrioid"
31663299,hsa-mir-218,Stomach Neoplasms
31520422,hsa-mir-218,Asthma
31520422,hsa-mir-218,Pulmonary Eosinophilia
31478244,hsa-mir-218,"Osteoporosis, Postmenopausal"
31395079,hsa-mir-218,Pancreatic Carcinoma
31278132,hsa-mir-218,"Carcinoma, Hepatocellular"
30982576,hsa-mir-218,"Carcinoma, Hepatocellular"
30981105,hsa-mir-218,Pancreatic Carcinoma
36867300,hsa-mir-218,Glioma
36732429,hsa-mir-218,Brain Ischemia
36289596,hsa-mir-218,Lung Neoplasms
35962465,hsa-mir-218,Osteoarthritis
34749249,hsa-mir-218,Myocardial Reperfusion Injury
33041665,hsa-mir-218,Osteosarcoma
35929906,hsa-mir-218,"Thyroid Cancer, Papillary"
32492291,hsa-mir-218,Parkinson Disease
32323859,hsa-mir-218,"Carcinoma, Non-Small-Cell Lung"
31269584,hsa-mir-218,Colorectal Neoplasms
30840261,hsa-mir-218,Endometrial Neoplasms
35835978,hsa-mir-218,Glioblastoma
33335569,hsa-mir-218,"Carcinoma, Non-Small-Cell Lung"
31934035,hsa-mir-218,Esophageal Squamous Cell Carcinoma
31524269,hsa-mir-218,Glioblastoma
31372052,hsa-mir-218,Uterine Cervical Neoplasms
32103980,hsa-mir-218,Uterine Cervical Neoplasms
36890438,hsa-mir-218,Atherosclerosis
34977284,hsa-mir-218,Osteosarcoma
34277808,hsa-mir-218,Breast Neoplasms
32043754,hsa-mir-449a,Hypoxia
32952657,hsa-mir-449a,Breast Neoplasms
34218230,hsa-mir-449a,Arthritis
30635008,hsa-mir-449a,Arteriovenous Fistula
30635008,hsa-mir-449a,Congenital heart block
35212607,hsa-mir-449a,Neuroblastoma
34044859,hsa-mir-449a,Lung Neoplasms
33739042,hsa-mir-449a,"Carcinoma, Hepatocellular"
33396625,hsa-mir-449a,Triple Negative Breast Neoplasms
32376557,hsa-mir-449a,Stomach Neoplasms
31578014,hsa-mir-449a,Uterine Cervical Neoplasms
30793707,hsa-mir-449a,Osteosarcoma
30679313,hsa-mir-449a,Osteosarcoma
30551450,hsa-mir-449a,Gastrointestinal Stromal Tumors
36781680,hsa-mir-449a,"Fibrosis, Renal"
36458392,hsa-mir-449a,Peripheral Nerve Injuries
32774700,hsa-mir-449a,Inflammation
32774700,hsa-mir-449a,"Reperfusion Injury, Cerebral Ischemia"
31336052,hsa-mir-449a,Diabetic Nephropathies
31190882,hsa-mir-449a,"Carcinoma, Non-Small-Cell Lung"
30773606,hsa-mir-449a,Brain Ischemia
36334219,hsa-mir-449a,Cardiomyopathies
34976171,hsa-mir-449a,"Carcinoma, Hepatocellular"
34373706,hsa-mir-449a,Triple Negative Breast Neoplasms
35579419,hsa-mir-34a,Lung Neoplasms
32102467,hsa-mir-34a,Lung Neoplasms
32251872,hsa-mir-34a,Alzheimer Disease
30563239,hsa-mir-34a,Osteoarthritis
32030826,hsa-mir-34a,Osteoarthritis
33491221,hsa-mir-34a,Inflammation
32704131,hsa-mir-34a,Inflammation
32952657,hsa-mir-34a,Breast Neoplasms
35579419,hsa-mir-34a,Osteosarcoma
34790726,hsa-mir-34a,Fibrosis
32704131,hsa-mir-34a,Fibrosis
32704131,hsa-mir-34a,Heart Diseases
33517853,hsa-mir-34a,Reperfusion Injury
30598580,hsa-mir-34a,Colorectal Neoplasms
36831485,hsa-mir-34a,Colorectal Neoplasms
33491221,hsa-mir-34a,Hyperglycemia
34621503,hsa-mir-34a,Keloid
31397599,hsa-mir-34a,Mitochondrial Diseases
30591585,hsa-mir-34a,Acquired Immunodeficiency Syndrome
30820263,hsa-mir-34a,Insulin Resistance
35038560,hsa-mir-34a,Congenital central hypoventilation syndrome
35452510,hsa-mir-34a,Necrobiotic Disorders
30538437,hsa-mir-34a,Muscular Atrophy
33491221,hsa-mir-34a,Retinal Diseases
31014175,hsa-mir-34a,Sjogren's Syndrome
33754032,hsa-mir-34a,Carcinoma
35087989,hsa-mir-34a,Parkinson Disease
33029173,hsa-mir-34a,X-Linked Combined Immunodeficiency Diseases
36583714,hsa-mir-34a,Liver Cirrhosis
36361993,hsa-mir-34a,Colorectal Neoplasms
36313765,hsa-mir-34a,Uterine Cervical Neoplasms
35930398,hsa-mir-34a,Osteoarthritis
35484885,hsa-mir-34a,"Carcinoma, Hepatocellular"
35398468,hsa-mir-34a,Prostatic Neoplasms
35347965,hsa-mir-34a,Esophageal Neoplasms
35327612,hsa-mir-34a,"Carcinoma, Non-Small-Cell Lung"
34993814,hsa-mir-34a,Breast Neoplasms
34981333,hsa-mir-34a,Salivary Gland Neoplasms
34921567,hsa-mir-34a,Parkinson Disease
34751414,hsa-mir-34a,"Cataract, Diabetic"
34467896,hsa-mir-34a,"Carcinoma, Non-Small-Cell Lung"
34346538,hsa-mir-34a,Polycystic Ovary Syndrome
33990639,hsa-mir-34a,Uterine Cervical Neoplasms
33894272,hsa-mir-34a,Ovarian Neoplasms
33653498,hsa-mir-34a,"Prostatic Neoplasms, Castration-Resistant"
33645623,hsa-mir-34a,Uterine Cervical Neoplasms
33492448,hsa-mir-34a,Colorectal Neoplasms
33416133,hsa-mir-34a,Colorectal Neoplasms
33306406,hsa-mir-34a,Triple Negative Breast Neoplasms
33215424,hsa-mir-34a,Esophageal Squamous Cell Carcinoma
32856736,hsa-mir-34a,Pituitary Neoplasms
32735880,hsa-mir-34a,Breast Neoplasms
32660221,hsa-mir-34a,Breast Neoplasms
32658033,hsa-mir-34a,Colorectal Neoplasms
32648233,hsa-mir-34a,Nasopharyngeal Carcinoma
32610494,hsa-mir-34a,Head and Neck Neoplasms
32593718,hsa-mir-34a,Atherosclerosis
32393417,hsa-mir-34a,"Cholangitis, Sclerosing, Primary"
32393417,hsa-mir-34a,Liver Cirrhosis
32393417,hsa-mir-34a,Biliary Tract Diseases
32357442,hsa-mir-34a,Breast Neoplasms
32349744,hsa-mir-34a,"Carcinoma, Non-Small-Cell Lung"
32329692,hsa-mir-34a,"Carcinoma, Hepatocellular"
32181973,hsa-mir-34a,"Leukemia, Myeloid, Acute"
32066502,hsa-mir-34a,Osteoarthritis
31986125,hsa-mir-34a,Pancreatic Carcinoma
31894330,hsa-mir-34a,Osteoarthritis
31814518,hsa-mir-34a,Stomach Neoplasms
31802650,hsa-mir-34a,Colorectal Neoplasms
31799656,hsa-mir-34a,Stomach Neoplasms
31672604,hsa-mir-34a,Prostatic Neoplasms
31405216,hsa-mir-34a,Osteoarthritis
31349837,hsa-mir-34a,"Carcinoma, Hepatocellular"
31270041,hsa-mir-34a,"Carcinoma, Squamous Cell"
31270041,hsa-mir-34a,Adenocarcinoma of Lung
31132353,hsa-mir-34a,Breast Neoplasms
31113203,hsa-mir-34a,Osteoarthritis
31093891,hsa-mir-34a,Uterine Cervical Neoplasms
31013436,hsa-mir-34a,Pancreatic Carcinoma
31012516,hsa-mir-34a,Glioma
30968966,hsa-mir-34a,"Enterovirus B, Human"
30968145,hsa-mir-34a,Colorectal Neoplasms
30916815,hsa-mir-34a,Breast Neoplasms
30867288,hsa-mir-34a,Heart Failure
30860027,hsa-mir-34a,Prostatic Neoplasms
30840269,hsa-mir-34a,Colorectal Neoplasms
30793707,hsa-mir-34a,Osteosarcoma
30779084,hsa-mir-34a,Breast Neoplasms
30779057,hsa-mir-34a,Pre-Eclampsia
30720809,hsa-mir-34a,Stomach Neoplasms
30463570,hsa-mir-34a,Thyroid Neoplasms
36777862,hsa-mir-34a,Inflammatory Bowel Diseases
36577153,hsa-mir-34a,Neuralgia
36577153,hsa-mir-34a,Spinal Cord Injuries
35958481,hsa-mir-34a,Adenocarcinoma of Lung
35116858,hsa-mir-34a,"Thyroid Cancer, Papillary"
34838715,hsa-mir-34a,Non-alcoholic Fatty Liver Disease
34768615,hsa-mir-34a,"Lupus Erythematosus, Systemic"
34465322,hsa-mir-34a,Pulmonary Arterial Hypertension
33841635,hsa-mir-34a,Uterine Cervical Neoplasms
33718673,hsa-mir-34a,Endometriosis
33661552,hsa-mir-34a,Liver Injury
33643571,hsa-mir-34a,"Diabetes Mellitus, Type 2"
33569424,hsa-mir-34a,Reperfusion Injury
33569424,hsa-mir-34a,Heart Arrest
33520845,hsa-mir-34a,"Diabetes Mellitus, Type 2"
33289184,hsa-mir-34a,Diabetic Cardiomyopathies
32903604,hsa-mir-34a,Sepsis
32903604,hsa-mir-34a,Lung Injury
32803914,hsa-mir-34a,Osteolysis
32709878,hsa-mir-34a,Heart Injuries
32210625,hsa-mir-34a,Glioblastoma
32147387,hsa-mir-34a,Acute Lung Injury
32096191,hsa-mir-34a,Spinal Cord Injuries
31648165,hsa-mir-34a,Precancerous Conditions
31324142,hsa-mir-34a,Visceral Pain
30872089,hsa-mir-34a,Acquired Immunodeficiency Syndrome
30867715,hsa-mir-34a,"Fibrosis, Renal"
30792687,hsa-mir-34a,Alzheimer Disease
30770339,hsa-mir-34a,Bronchopulmonary Dysplasia
30555521,hsa-mir-34a,Fatty Liver
30447272,hsa-mir-34a,Folic Acid Deficiency
31938208,hsa-mir-34a,"Carcinoma, Non-Small-Cell Lung"
32062455,hsa-mir-34a,Lung Neoplasms
36494481,hsa-mir-34a,"Carcinoma, Hepatocellular"
36312597,hsa-mir-34a,"Hypertension, Pulmonary"
36312597,hsa-mir-34a,"Hypertension, Portal"
35444864,hsa-mir-34a,Herpesviridae Infections
35067156,hsa-mir-34a,Lung Neoplasms
34511356,hsa-mir-34a,Squamous Cell Carcinoma of Head and Neck
34440380,hsa-mir-34a,Triple Negative Breast Neoplasms
34198460,hsa-mir-34a,Atrial Fibrillation
34011046,hsa-mir-34a,Neuroblastoma
33962397,hsa-mir-34a,Glioma
33706708,hsa-mir-34a,"Thyroid Cancer, Papillary"
33402731,hsa-mir-34a,Osteoporosis
33359304,hsa-mir-34a,Pituitary Neoplasms
33208781,hsa-mir-34a,Esophageal Squamous Cell Carcinoma
32559619,hsa-mir-34a,Adenocarcinoma of Lung
32248643,hsa-mir-34a,Lung Neoplasms
31034943,hsa-mir-34a,"Carcinoma, Hepatocellular"
30389523,hsa-mir-34a,Multiple Myeloma
36289596,hsa-mir-34a,Lung Neoplasms
35835182,hsa-mir-34a,Coronary Microcirculation Dysfunction
34557649,hsa-mir-34a,Alzheimer Disease
33613764,hsa-mir-34a,Ovarian Neoplasms
33269829,hsa-mir-34a,Migraine Disorders
32064235,hsa-mir-34a,Thyroid Neoplasms
31777535,hsa-mir-34a,Osteoarthritis
31601093,hsa-mir-34a,Myocardial Ischemia
31182759,hsa-mir-34a,Urinary Bladder Neoplasms
34778900,hsa-mir-34a,Pulmonary Embolism
34318554,hsa-mir-34a,Drug-Induced Kidney Injury
36915137,hsa-mir-4a,Osteoarthritis
36907052,hsa-mir-4a,Triple Negative Breast Neoplasms
36615779,hsa-mir-34a,Non-alcoholic Fatty Liver Disease
33365086,hsa-mir-34a,Pancreatic Neoplasms
33071785,hsa-mir-34a,Melanoma
32566017,hsa-mir-34a,"Carcinoma, Hepatocellular"
33979576,hsa-mir-132,Autoimmune Diseases
30896881,hsa-mir-132,"Hypertension, Pulmonary"
33718536,hsa-mir-132,Anxiety Disorders
30555870,hsa-mir-132,Anxiety Disorders
33718536,hsa-mir-132,"Stress Disorders, Post-Traumatic"
34052307,hsa-mir-132,Prostatic Neoplasms
34052307,hsa-mir-132,Lipid Metabolism Disorders
31389121,hsa-mir-132,Breast Neoplasms
34585626,hsa-mir-132,Alzheimer Disease
34012590,hsa-mir-132,"Carcinoma, Non-Small-Cell Lung"
32600449,hsa-mir-132,"Hypoxia-Ischemia, Brain"
35163214,hsa-mir-132,"Depressive Disorder, Major"
35031788,hsa-mir-132,Urinary Bladder Neoplasms
33245749,hsa-mir-132,Heart Failure
33174054,hsa-mir-132,Polycystic Ovary Syndrome
33125117,hsa-mir-132,Lung Neoplasms
31646584,hsa-mir-132,Alzheimer Disease
31625200,hsa-mir-132,"Carcinoma, Renal Cell"
31114988,hsa-mir-132,Ovarian Neoplasms
30915740,hsa-mir-132,Pancreatic Carcinoma
30850243,hsa-mir-132,Neuroblastoma
30803373,hsa-mir-132,"Carcinoma, Pancreatic Ductal"
30582204,hsa-mir-132,"Cystitis, Interstitial"
34112319,hsa-mir-132,Aortic Valve Stenosis
34112319,hsa-mir-132,Heart Failure
33298873,hsa-mir-132,Pancreatic Carcinoma
32333305,hsa-mir-132,"Stress Disorders, Post-Traumatic"
30907089,hsa-mir-132,Diabetes Mellitus
30618618,hsa-mir-132,Ischemic Stroke
31413591,hsa-mir-132,Urinary Bladder Neoplasms
35117808,hsa-mir-132,Ovarian Neoplasms
35020000,hsa-mir-181c,Inflammation
33290309,hsa-mir-181c,Bloom Syndrome
32584521,hsa-mir-181c,von Hippel-Lindau Disease
36221381,hsa-mir-181c,Frontotemporal Lobar Degeneration
31078780,hsa-mir-181c,Breast Neoplasms
33669647,hsa-mir-181c,Ovarian Neoplasms
33548000,hsa-mir-181c,Spinal Cord Injuries
31114379,hsa-mir-181c,"Carcinoma, Hepatocellular"
31073307,hsa-mir-181c,Breast Neoplasms
36553610,hsa-mir-181c,"Carcinoma, Hepatocellular"
36321407,hsa-mir-181c,Colorectal Neoplasms
35611706,hsa-mir-181c,Esophageal Squamous Cell Carcinoma
35611706,hsa-mir-181c,Breast Neoplasms
34925543,hsa-mir-181c,Intervertebral Disc Degeneration
31334597,hsa-mir-181c,Ischemic Stroke
34224818,hsa-mir-181c,Ischemic Stroke
33952191,hsa-mir-181c,Sepsis
33680908,hsa-mir-181c,Squamous Cell Carcinoma of Head and Neck
36250223,hsa-mir-338,"Opitz GBBB Syndrome, X-Linked"
35765408,hsa-mir-338,"Leukemia, Myeloid, Acute"
34517787,hsa-mir-338,Spinal Cord Injuries
33262463,hsa-mir-338,Breast Neoplasms
32965722,hsa-mir-338,"Carcinoma, Non-Small-Cell Lung"
32915416,hsa-mir-338,Autoimmune Diseases of the Nervous System
36539365,hsa-mir-338,"Carcinoma, Non-Small-Cell Lung"
36164699,hsa-mir-338,Osteosarcoma
34429400,hsa-mir-338,Esophageal Squamous Cell Carcinoma
34024242,hsa-mir-338,"Carcinoma, Non-Small-Cell Lung"
33770685,hsa-mir-338,"Rhinitis, Allergic"
33735107,hsa-mir-338,Uterine Cervical Neoplasms
33722502,hsa-mir-338,"Carcinoma, Hepatocellular"
33676464,hsa-mir-338,Intervertebral Disc Degeneration
33655888,hsa-mir-338,Neuroblastoma
33015770,hsa-mir-338,Prostatic Neoplasms
32945416,hsa-mir-338,Esophageal Squamous Cell Carcinoma
32889897,hsa-mir-338,Hypopharyngeal Neoplasms
32406793,hsa-mir-338,Gallbladder Neoplasms
32248836,hsa-mir-338,Adenocarcinoma of Lung
32216582,hsa-mir-338,Stomach Neoplasms
31895689,hsa-mir-338,Glioma
31115502,hsa-mir-338,Adenocarcinoma of Lung
30945457,hsa-mir-338,Colorectal Neoplasms
30741252,hsa-mir-338,Prostatic Neoplasms
30554121,hsa-mir-338,"Carcinoma, Non-Small-Cell Lung"
30484892,hsa-mir-338,Osteosarcoma
35571014,hsa-mir-338,Esophageal Squamous Cell Carcinoma
35096421,hsa-mir-338,Diabetic Nephropathies
34629895,hsa-mir-338,Ischemic Stroke
34629895,hsa-mir-338,Brain Ischemia
32976115,hsa-mir-338,"Carcinoma, Non-Small-Cell Lung"
32331846,hsa-mir-338,"Liver Failure, Acute"
32280304,hsa-mir-338,"Leukemia, Myeloid, Acute"
30423928,hsa-mir-338,Breast Neoplasms
30662812,hsa-mir-338,Prostatic Neoplasms
34937497,hsa-mir-338,Glioma
34717922,hsa-mir-338,Spinal Cord Injuries
34717922,hsa-mir-338,Neuralgia
33355622,hsa-mir-338,Lung Neoplasms
30982765,hsa-mir-338,Colorectal Neoplasms
30576233,hsa-mir-338,Alzheimer Disease
36248404,hsa-mir-338,Ovarian Neoplasms
34316513,hsa-mir-338,Osteosarcoma
34188473,hsa-mir-338,Neuroblastoma
34012271,hsa-mir-338,Ovarian Neoplasms
33937024,hsa-mir-338,Pancreatic Neoplasms
33747281,hsa-mir-338,Adenocarcinoma of Lung
33536787,hsa-mir-338,Osteosarcoma
32468054,hsa-mir-340,Reperfusion Injury
36604721,hsa-mir-340,Osteosarcoma
35809813,hsa-mir-340,Pre-Eclampsia
34657558,hsa-mir-340,Breast Neoplasms
34048366,hsa-mir-340,Osteosarcoma
33955315,hsa-mir-340,Lung Neoplasms
33530829,hsa-mir-340,Colonic Neoplasms
33491760,hsa-mir-340,Cholangiocarcinoma
32270853,hsa-mir-340,Gallbladder Neoplasms
31894279,hsa-mir-340,"Carcinoma, Endometrioid"
30779064,hsa-mir-340,Osteosarcoma
30548308,hsa-mir-340,Osteosarcoma
35510394,hsa-mir-340,"Reperfusion Injury, Cerebral Ischemia"
34295384,hsa-mir-340,Colonic Neoplasms
33609235,hsa-mir-340,"Carcinoma, Renal Cell"
30726150,hsa-mir-340,Osteosarcoma
30543563,hsa-mir-340,Melanoma
31153780,hsa-mir-340,Pancreatic Carcinoma
33718760,hsa-mir-340,Ovarian Neoplasms
